Title,Authors,Date,Price
New Signatures,Michael Roberts,1932,GBP 47.00
Beyond the Pleasure Principle,Sigmund Freud,1922,US $60.00
Mrs. Dalloway,Virginia Woolf,1925,US $29.95
Duino Elegies,Maria Rainer Rilke,1939,GBP 14.95
The Future of an Illusion,Sigmund Freud,1928,GBP 14.66
Letters,Stephen Reynolds,1923,US $17.00
The Hogarth Letters,,1933,US $17.00
Collected Papers,Sigmund Freud,1924,US $40.00
The Revival of Aesthetics,Hubert Waley,1926,US $180.00
The Marionette,Edwin Muir,1927,US $20.00
Kew Gardens,Virginia Woolf,1919,"US $7,500.00"
Kew Gardens,Virginia Woolf,1927,"US $7,500.00"
Goodbye to Berlin,Christopher Isherwood,1939,US $412.50
Seducers in Ecuador,Vita Sackville-West,1924,US $945.00
The Memorial,Christopher Isherwood,1932,US $770.00
To the Lighthouse,Virginia Woolf,1927,GBP 45.00
Flush,Virginia Woolf,1933,US $957.58
Poems,C.N. Sidney Woolf,1918,US $37.52
Poems,TS Eliot,1919,US $37.52
Poems,Clive Bell,1921,US $37.52
Poems,Frank Prewett,1921,US $37.52
Poems,GH Luce,1923,US $37.52
Poems,Barrington Gates,1925,US $37.52
Poems,George Rylands,1931,US $37.52
Poems,Maria Rainer Rilke,1934,US $37.52
Poems,Christopher Lee,1937,US $37.52
Poems,Kenneth Allott,1938,US $37.52
Selected Poems,Cecil Day Lewis,1940,US $37.52
Selected Poems,William Plomer,1940,US $37.52
Selected Poems,Herman Melville,1941,US $37.52
Selected Poems,Rainer Maria Rilke,1941,US $37.52
Selected Poems,Vita Sackville-West,1941,US $37.52
Poems,Terence Tiller,1941,US $37.52
The Edwardians,Vita Sackville-West,1930,US $60.00
Twelve Days,Vita Sackville-West,1928,US $110.00
Goodbye to Berlin,Christopher Isherwood,1939,"US $1,750.00"
The Waves,Virginia Woolf,1931,GBP 55.65
To the Lighthouse,Virginia Woolf,1927,US $200.00
The Backward Son,Stephen Spender,1940,US $239.50
The Years,Virginia Woolf,1938,US $700.00
Party Going,Henry Green,1939,US $91.38
Kew Gardens,Virginia Woolf,1919,"US $7,500.00"
Kew Gardens,Virginia Woolf,1927,"US $7,500.00"
Letters,Stephen Reynolds,1923,US $7.91
The Hogarth Letters,,1933,US $7.91
Lions and Shadows,Christopher Isherwood,1938,US $440.00
The Memorial,Christopher Isherwood,1932,GBP 117.00
The Years,Virginia Woolf,1938,GBP 980.00
Funeral March of a Marionette,Susan Buchan,1935,GBP 199.00
The Years,Virginia Woolf,1938,US $18.36
The Memorial,Christopher Isherwood,1932,GBP 115.00
The Common Reader,Virginia Woolf,1925,GBP 611.00
